,Temperature,Pressure,Fraction_B,Liq_B,Vap_B,Train_Liq_B,Train_Vap_B
907,359.18367346938777,140000.0,0.8111111111111111,0.8111110016830873,0.909739443928482,0.8117070200707416,0.9114836350664344
1693,366.3265306122449,160000.0,0.6333333333333333,0.6333332572247404,0.7969033316420054,0.6318908520086466,0.7978407820109332
3275,382.6530612244898,155555.55555555556,0.7222222222222222,0.5348068965230053,0.7222222228481519,0.5351105926834623,0.7216776065475309
3800,388.7755102040816,140000.0,0.5,0.3082484781787485,0.500000000384905,0.3095980133641209,0.49972809427707504
2548,375.5102040816327,148888.88888888888,0.8555555555555556,0.7193364823377616,0.8555555561879392,0.7206766261175186,0.8561932868576503
3854,388.7755102040816,151111.11111111112,0.6777777777777778,0.4820695531704945,0.6777777779941971,0.4828050847201158,0.6779060469779254
467,354.0816326530612,153333.33333333334,0.8111111111111111,0.8111110542776623,0.9086609947708012,0.8116801434648648,0.9113223047593189
3433,384.6938775510204,146666.66666666666,0.6333333333333333,0.4333204401466154,0.6333333338194708,0.43299716119081655,0.6311468931466918
3184,381.6326530612245,157777.77777777778,0.6777777777777778,0.4945349336543563,0.6875035637584704,0.49707310586935144,0.689271886457416
3516,385.7142857142857,142222.22222222222,0.7666666666666666,0.5880740758625553,0.7666666668222442,0.5913550400666256,0.7674643031660857
3542,385.7142857142857,148888.88888888888,0.5888888888888889,0.3896107112144749,0.5888888895598975,0.38911828922377484,0.586665533116514
196,351.0204081632653,160000.0,0.7666666666666666,0.7666666252290808,0.882925492241645,0.7646042516127405,0.8850864111016501
101,351.0204081632653,140000.0,0.5444444444444444,0.5444444100068427,0.7330630458211285,0.5412529905315432,0.7339403372955806
1394,363.265306122449,160000.0,0.6777777777777778,0.6777777099616087,0.8274519365241579,0.6763113916339585,0.8284661456738864
4494,394.8979591836735,160000.0,0.6777777777777778,0.4840616440024988,0.6777777779234249,0.4855188283131081,0.6790395632631753
4761,397.9591836734694,153333.33333333334,0.5444444444444444,0.3493905622092617,0.5444444446048299,0.35231983333971073,0.5437350583079206
2271,372.4489795918368,155555.55555555556,0.5444444444444444,0.5444443261522015,0.7301080890633793,0.542191026402008,0.7314486953987152
3728,387.7551020408163,144444.44444444444,0.8555555555555556,0.7184711117539372,0.8555555556512908,0.7258983414942048,0.8575709956033846
604,356.1224489795918,140000.0,0.6777777777777778,0.6777777185247666,0.8301717234421861,0.6757446902866842,0.8319891026796045
